"Step","train/loss","./SMOL_DPO_ALPHA_DIVERGENCE - train/loss__MIN","./SMOL_DPO_ALPHA_DIVERGENCE - train/loss__MAX"
"563","2.0573","2.0573","2.0573"
"564","2.3551","2.3551","2.3551"
"565","1.4787","1.4787","1.4787"
"566","1.3957","1.3957","1.3957"
"567","1.9438","1.9438","1.9438"
"568","1.9904","1.9904","1.9904"
"569","1.8865","1.8865","1.8865"
"570","1.7714","1.7714","1.7714"
"571","0.9486","0.9486","0.9486"
"572","1.2749","1.2749","1.2749"
"573","2.9931","2.9931","2.9931"
"574","2.4946","2.4946","2.4946"
"575","2.1383","2.1383","2.1383"
"576","2.7806","2.7806","2.7806"
"577","1.741","1.741","1.741"
"578","1.3368","1.3368","1.3368"
"579","0.5544","0.5544","0.5544"
"580","0.6069","0.6069","0.6069"
"581","0.9722","0.9722","0.9722"
"582","1.0547","1.0547","1.0547"
"583","1.1981","1.1981","1.1981"
"584","1.4108","1.4108","1.4108"
"585","2.5243","2.5243","2.5243"
"586","0.802","0.802","0.802"
"587","2.5653","2.5653","2.5653"
"588","2.7385","2.7385","2.7385"
"589","1.238","1.238","1.238"
"590","2.4272","2.4272","2.4272"
"591","1.288","1.288","1.288"
"592","2.5525","2.5525","2.5525"
"593","1.5656","1.5656","1.5656"
"594","0.5936","0.5936","0.5936"
"595","2.681","2.681","2.681"
"596","1.6257","1.6257","1.6257"
"597","2.7937","2.7937","2.7937"
"598","2.0526","2.0526","2.0526"
"599","2.0274","2.0274","2.0274"
"600","1.6957","1.6957","1.6957"
"601","0.6672","0.6672","0.6672"
"603","0.6931","0.6931","0.6931"
"604","0.6959","0.6959","0.6959"
"605","0.6887","0.6887","0.6887"
"606","0.6963","0.6963","0.6963"
"607","0.6857","0.6857","0.6857"
"608","0.6482","0.6482","0.6482"
"609","0.6321","0.6321","0.6321"
"610","0.7082","0.7082","0.7082"
"611","0.7054","0.7054","0.7054"
"612","0.699","0.699","0.699"
"613","0.602","0.602","0.602"
"614","0.6366","0.6366","0.6366"
"615","0.6702","0.6702","0.6702"
"616","0.6351","0.6351","0.6351"
"617","0.6843","0.6843","0.6843"
"618","0.7033","0.7033","0.7033"
"619","0.7755","0.7755","0.7755"
"620","0.6559","0.6559","0.6559"
"621","0.6496","0.6496","0.6496"
"622","0.5314","0.5314","0.5314"
"623","0.569","0.569","0.569"
"624","0.6392","0.6392","0.6392"
"625","0.6706","0.6706","0.6706"
"626","0.6124","0.6124","0.6124"
"627","0.6523","0.6523","0.6523"
"628","0.495","0.495","0.495"
"629","0.623","0.623","0.623"
"630","0.5432","0.5432","0.5432"
"631","0.5547","0.5547","0.5547"
"632","0.6278","0.6278","0.6278"
"633","0.7323","0.7323","0.7323"
"634","0.5368","0.5368","0.5368"
"635","0.8139","0.8139","0.8139"
"636","0.6596","0.6596","0.6596"
"637","0.6762","0.6762","0.6762"
"638","0.5688","0.5688","0.5688"
"639","0.885","0.885","0.885"
"640","0.707","0.707","0.707"
"641","0.7913","0.7913","0.7913"
"642","0.8063","0.8063","0.8063"
"643","0.6396","0.6396","0.6396"
"644","0.9226","0.9226","0.9226"
"645","0.5933","0.5933","0.5933"
"646","0.8186","0.8186","0.8186"
"647","0.648","0.648","0.648"
"648","0.7482","0.7482","0.7482"
"649","0.7294","0.7294","0.7294"
"650","0.567","0.567","0.567"
"651","0.535","0.535","0.535"
"652","0.6896","0.6896","0.6896"
"653","0.559","0.559","0.559"
"654","0.8428","0.8428","0.8428"
"655","0.68","0.68","0.68"
"656","0.7","0.7","0.7"
"657","0.9132","0.9132","0.9132"
"658","0.7805","0.7805","0.7805"
"659","0.5219","0.5219","0.5219"
"660","0.5325","0.5325","0.5325"
"661","0.8324","0.8324","0.8324"
"662","0.6229","0.6229","0.6229"
"663","0.5639","0.5639","0.5639"
"664","0.8214","0.8214","0.8214"
"665","0.5514","0.5514","0.5514"
"666","0.6008","0.6008","0.6008"
"667","0.8276","0.8276","0.8276"
"668","0.6259","0.6259","0.6259"
"669","0.5787","0.5787","0.5787"
"670","0.7783","0.7783","0.7783"
"671","0.8063","0.8063","0.8063"
"672","0.6554","0.6554","0.6554"
"673","0.6629","0.6629","0.6629"
"674","0.7746","0.7746","0.7746"
"675","0.6183","0.6183","0.6183"
"676","0.6362","0.6362","0.6362"
"677","0.8101","0.8101","0.8101"
"678","0.4905","0.4905","0.4905"
"679","0.5475","0.5475","0.5475"
"680","0.6095","0.6095","0.6095"
"681","0.4084","0.4084","0.4084"
"682","0.761","0.761","0.761"
"683","0.8125","0.8125","0.8125"
"684","0.8839","0.8839","0.8839"
"685","0.8617","0.8617","0.8617"
"686","0.6619","0.6619","0.6619"
"687","0.5552","0.5552","0.5552"
"688","0.7984","0.7984","0.7984"
"689","0.497","0.497","0.497"
"690","0.74","0.74","0.74"
"691","0.7039","0.7039","0.7039"
"692","0.6716","0.6716","0.6716"
"693","0.6995","0.6995","0.6995"
"694","0.6533","0.6533","0.6533"
"695","0.6642","0.6642","0.6642"
"696","0.742","0.742","0.742"
"697","0.4988","0.4988","0.4988"
"698","0.552","0.552","0.552"
"699","0.7885","0.7885","0.7885"
"700","0.4718","0.4718","0.4718"
"701","0.6317","0.6317","0.6317"
"702","0.5311","0.5311","0.5311"
"703","0.5501","0.5501","0.5501"
"704","0.7227","0.7227","0.7227"
"705","0.4916","0.4916","0.4916"
"706","0.7023","0.7023","0.7023"
"707","0.9119","0.9119","0.9119"
"708","0.6149","0.6149","0.6149"
"709","0.4381","0.4381","0.4381"
"710","0.667","0.667","0.667"
"711","0.6711","0.6711","0.6711"
"712","0.4919","0.4919","0.4919"
"713","0.8034","0.8034","0.8034"
"714","0.7217","0.7217","0.7217"
"715","0.5686","0.5686","0.5686"
"716","0.6499","0.6499","0.6499"
"717","0.5719","0.5719","0.5719"
"718","0.6596","0.6596","0.6596"
"719","0.7617","0.7617","0.7617"
"720","0.5886","0.5886","0.5886"
"721","0.6365","0.6365","0.6365"
"722","0.7888","0.7888","0.7888"
"723","0.6481","0.6481","0.6481"
"724","0.6851","0.6851","0.6851"
"725","0.6857","0.6857","0.6857"
"726","0.5303","0.5303","0.5303"
"727","0.5421","0.5421","0.5421"
"728","0.5409","0.5409","0.5409"
"729","0.6474","0.6474","0.6474"
"730","0.7413","0.7413","0.7413"
"731","0.7049","0.7049","0.7049"
"732","0.6001","0.6001","0.6001"
