"Step","train/rewards/chosen","./SMOL_DPO_ALPHA_DIVERGENCE - train/rewards/chosen__MIN","./SMOL_DPO_ALPHA_DIVERGENCE - train/rewards/chosen__MAX"
"386","-0.9938952922821045","-0.9938952922821045","-0.9938952922821045"
"387","-0.8037328720092773","-0.8037328720092773","-0.8037328720092773"
"388","-0.6717649698257446","-0.6717649698257446","-0.6717649698257446"
"389","-0.9326871633529663","-0.9326871633529663","-0.9326871633529663"
"390","-0.673782229423523","-0.673782229423523","-0.673782229423523"
"391","-0.9301838874816895","-0.9301838874816895","-0.9301838874816895"
"392","-0.8129426836967468","-0.8129426836967468","-0.8129426836967468"
"393","-0.8634999394416809","-0.8634999394416809","-0.8634999394416809"
"394","-1.0458223819732666","-1.0458223819732666","-1.0458223819732666"
"395","-0.7741483449935913","-0.7741483449935913","-0.7741483449935913"
"396","-1.0360044240951538","-1.0360044240951538","-1.0360044240951538"
"397","-1.2426655292510986","-1.2426655292510986","-1.2426655292510986"
"398","-0.631746232509613","-0.631746232509613","-0.631746232509613"
"399","-0.788151741027832","-0.788151741027832","-0.788151741027832"
"400","-0.6726934909820557","-0.6726934909820557","-0.6726934909820557"
"402","0","0","0"
"403","-0.04043984413146973","-0.04043984413146973","-0.04043984413146973"
"404","0.3149080276489258","0.3149080276489258","0.3149080276489258"
"405","-0.15703392028808594","-0.15703392028808594","-0.15703392028808594"
"406","-0.704555332660675","-0.704555332660675","-0.704555332660675"
"407","-0.29979634284973145","-0.29979634284973145","-0.29979634284973145"
"408","-0.13123071193695068","-0.13123071193695068","-0.13123071193695068"
"409","-1.4831666946411133","-1.4831666946411133","-1.4831666946411133"
"410","-0.9115778207778931","-0.9115778207778931","-0.9115778207778931"
