"Step","train/rewards/rejected","./SMOL_DPO_ALPHA_DIVERGENCE - train/rewards/rejected__MIN","./SMOL_DPO_ALPHA_DIVERGENCE - train/rewards/rejected__MAX"
"217","-0.23768875002861023","-0.23768875002861023","-0.23768875002861023"
"218","-0.5107983946800232","-0.5107983946800232","-0.5107983946800232"
"219","-0.5203884840011597","-0.5203884840011597","-0.5203884840011597"
"220","-0.5168958902359009","-0.5168958902359009","-0.5168958902359009"
"221","-0.6081344485282898","-0.6081344485282898","-0.6081344485282898"
"222","-0.5533207654953003","-0.5533207654953003","-0.5533207654953003"
"223","-0.46980050206184387","-0.46980050206184387","-0.46980050206184387"
"224","-0.5963862538337708","-0.5963862538337708","-0.5963862538337708"
"225","-0.5916392803192139","-0.5916392803192139","-0.5916392803192139"
"226","-0.6168839335441589","-0.6168839335441589","-0.6168839335441589"
"227","-0.6826431751251221","-0.6826431751251221","-0.6826431751251221"
"228","-0.8391209840774536","-0.8391209840774536","-0.8391209840774536"
"229","-0.9551609754562378","-0.9551609754562378","-0.9551609754562378"
"230","-0.7077789902687073","-0.7077789902687073","-0.7077789902687073"
"231","-0.9406812787055969","-0.9406812787055969","-0.9406812787055969"
"232","-0.6953176856040955","-0.6953176856040955","-0.6953176856040955"
"233","-0.8402000665664673","-0.8402000665664673","-0.8402000665664673"
"234","-1.0436142683029175","-1.0436142683029175","-1.0436142683029175"
"235","-1.0028514862060547","-1.0028514862060547","-1.0028514862060547"
"236","-1.3026714324951172","-1.3026714324951172","-1.3026714324951172"
"237","-0.8751422166824341","-0.8751422166824341","-0.8751422166824341"
"238","-1.1080784797668457","-1.1080784797668457","-1.1080784797668457"
"239","-0.9253144264221191","-0.9253144264221191","-0.9253144264221191"
"240","-1.0665698051452637","-1.0665698051452637","-1.0665698051452637"
"241","-1.1294500827789307","-1.1294500827789307","-1.1294500827789307"
"242","-1.0701593160629272","-1.0701593160629272","-1.0701593160629272"
"243","-1.4198529720306396","-1.4198529720306396","-1.4198529720306396"
"244","-0.8773161172866821","-0.8773161172866821","-0.8773161172866821"
"245","-1.1319873332977295","-1.1319873332977295","-1.1319873332977295"
"246","-0.8307920694351196","-0.8307920694351196","-0.8307920694351196"
"247","-1.4395625591278076","-1.4395625591278076","-1.4395625591278076"
"248","-0.9422106742858887","-0.9422106742858887","-0.9422106742858887"
"249","-1.5209825038909912","-1.5209825038909912","-1.5209825038909912"
"250","-0.9162955284118652","-0.9162955284118652","-0.9162955284118652"
"251","-1.0843957662582397","-1.0843957662582397","-1.0843957662582397"
